height_km,temp_K,pressure_hPa,wvd_gm3,n
0,288.15,1013.25,7.5,1.00031772
0.5,284.9002556,954.6128862,5.841005873,1.000295341
1,281.6510224,898.7628353,4.548979948,1.000275458
1.5,278.4023002,845.5967434,3.542749146,1.000257626
2,275.1540888,795.0142167,2.759095809,1.000241494
2.5,271.9063883,746.9175296,2.148785977,1.000226785
3,268.6591985,701.2115826,1.673476201,1.000213275
3.5,265.4125191,657.8038612,1.303304576,1.000200789
4,262.1663502,616.6043941,1.015014624,1.000189186
4.5,258.9206916,577.5257126,0.790494184,1.000178351
5,255.6755432,540.4828091,0.61563749,1.000168193
5.5,252.4309049,505.3930969,0.479458959,1.000158638
6,249.1867765,472.1763692,0.373403013,1.000149625
6.5,245.9431579,440.7547593,0.290806559,1.000141106
7,242.700049,411.0527002,0.226480376,1.000133037
7.5,239.4574497,382.9968847,0.176383094,1.000125386
8,236.2153598,356.516226,0.137367292,1.000118123
8.5,232.9737793,331.541818,0.106981754,1.000111223
9,229.732708,308.0068961,0.083317474,1.000104665
9.5,226.4921459,285.8467984,0.064887714,1.00009843
10,223.2520926,264.9989266,0.050534603,1.000092501
10.5,220.0125483,245.4027076,0.039356388,1.000086864
11,216.7735127,226.9995551,0.030650786,1.000081505
11.5,216.65,209.849775,0.023870856,1.000075354
12,216.65,193.9961605,0.018590641,1.000069634
12.5,216.65,179.3424579,0.014478406,1.000064352
13,216.65,165.7976824,0.011275794,1.000059475
13.5,216.65,153.2777608,0.008781597,1.000054971
14,216.65,141.7050055,0.006839115,1.000050811
14.5,216.65,131.007629,0.005326308,1.000046967
15,216.65,121.1192944,0.004148133,1.000043416
15.5,216.65,111.9787012,0.003230569,1.000040134
16,216.65,103.5292022,0.00251597,1.000037102
16.5,216.65,95.71844949,0.001959439,1.0000343
17,216.65,88.49806755,0.001526013,1.000031711
17.5,216.65,81.82335138,0.00118846,1.000029317
18,216.65,75.6529874,0.000925574,1.000027105
18.5,216.65,69.94879573,0.000720837,1.00002506
19,216.65,64.67549204,0.000561389,1.00002317
19.5,216.65,59.80046757,0.00043721,1.000021423
20,216.65,55.29358584,0.0003405,1.000019808
20.5,217.0841019,51.13091786,0.000265181,1.00001828
21,217.5808535,47.29021073,0.000206523,1.000016868
21.5,218.0775273,43.74632189,0.000160841,1.000015568
22,218.5741233,40.47567355,0.000125263,1.000014371
22.5,219.0706413,37.45661125,9.75547E-05,1.000013269
23,219.5670816,34.66924289,7.59757E-05,1.000012254
23.5,220.063444,32.09529157,6.32095E-05,1.000011318
24,220.5597287,29.71796102,5.83958E-05,1.000010456
24.5,221.0559356,27.52181248,0.000053959,1.000009662
25,221.5520647,25.49265217,4.98687E-05,1.000008929
25.5,222.0481161,23.61742828,4.60972E-05,1.000008254
26,222.5440898,21.88413663,4.26189E-05,1.000007631
26.5,223.0399858,20.28173444,3.94104E-05,1.000007057
27,223.5358041,18.80006131,3.64503E-05,1.000006527
27.5,224.0315447,17.42976685,3.37187E-05,1.000006038
28,224.5272077,16.16224443,3.11976E-05,1.000005586
28.5,225.0227931,14.98957048,2.88703E-05,1.000005169
29,225.5183008,13.90444883,2.67215E-05,1.000004785
29.5,226.013731,12.90015977,2.47371E-05,1.000004429
30,226.5090836,11.97051328,2.29042E-05,1.000004101
30.5,227.0043587,11.10980621,0.000021211,1.000003798
31,227.4995562,10.31278295,1.96465E-05,1.000003518
31.5,227.9946762,9.574599424,1.82006E-05,1.000003259
32,228.4897187,8.890789993,1.68641E-05,1.00000302
32.5,229.5871143,8.257867391,1.55887E-05,1.000002791
33,230.9727994,7.673302283,1.43983E-05,1.000002578
33.5,232.3582677,7.133331002,1.33053E-05,1.000002382
34,233.7435192,6.634309923,1.23011E-05,1.000002203
34.5,235.128554,6.172912626,1.13782E-05,1.000002037
35,236.5133721,5.746100602,1.05295E-05,1.000001885
35.5,237.8979735,5.351096821,9.7486E-06,1.000001746
36,239.2823584,4.985361866,9.0297E-06,1.000001617
36.5,240.6665267,4.646572364,8.3677E-06,1.000001498
37,242.0504785,4.332601488,7.7577E-06,1.000001389
37.5,243.4342139,4.041501318,7.1953E-06,1.000001288
38,244.8177329,3.771486874,6.6767E-06,1.000001196
38.5,246.2010356,3.52092166,6.1981E-06,1.00000111
39,247.584122,3.288304552,5.7562E-06,1.000001031
39.5,248.9669921,3.072257921,5.3482E-06,1.000000958
40,250.3496461,2.871516855,4.9711E-06,1.00000089
40.5,251.7320839,2.684919365,4.6225E-06,1.000000828
41,253.1143057,2.511397508,4.3002E-06,1.00000077
41.5,254.4963114,2.349969302,4.0019E-06,1.000000717
42,255.8781012,2.199731389,3.7259E-06,1.000000667
42.5,257.259675,2.059852349,3.4702E-06,1.000000621
43,258.6410329,1.929566624,3.2333E-06,1.000000579
43.5,260.022175,1.808168979,3.0138E-06,1.00000054
44,261.4031014,1.695009458,2.8103E-06,1.000000503
44.5,262.783812,1.589488785,2.6215E-06,1.000000469
45,264.1643069,1.491054168,2.4463E-06,1.000000438
45.5,265.5445862,1.399195474,2.2837E-06,1.000000409
46,266.9246499,1.313441731,2.1326E-06,1.000000382
46.5,268.3044981,1.233357942,1.9923E-06,1.000000357
47,269.6841309,1.158542163,1.8619E-06,1.000000333
47.5,270.65,1.088620356,1.7432E-06,1.000000312
48,270.65,1.022995938,1.6382E-06,1.000000293
48.5,270.65,0.961336835,1.5394E-06,1.000000276
49,270.65,0.903402882,1.4466E-06,1.000000259
49.5,270.65,0.848968495,1.3595E-06,1.000000243
50,270.65,0.797821781,1.2776E-06,1.000000229
50.5,270.65,0.749763709,1.2006E-06,1.000000215
51,270.65,0.704607323,1.1283E-06,1.000000202
51.5,270.4088626,0.662175882,1.0613E-06,1.00000019
52,269.0313819,0.622173456,1.0023E-06,1.00000018
52.5,267.654116,0.584406365,9.463E-07,1.000000169
53,266.2770651,0.548759895,8.932E-07,1.00000016
